fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	ganancia_prom	iteracion
20221002 041325	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	73	TRUE	807299	0.247783844016492	0.394017438469455	1689	439	13122	23280000	23280000	81
20221002 041353	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	33	TRUE	962041	0.247783844016492	0.394017438469455	1689	439	13122	23600000	23440000	82
20221002 041417	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	14	TRUE	705689	0.247783844016492	0.394017438469455	1689	439	13122	24240000	23706666.6666667	83
20221002 041457	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	73	TRUE	909463	0.247783844016492	0.394017438469455	1689	439	13122	24480000	23900000	84
20221002 041530	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	36	TRUE	637597	0.247783844016492	0.394017438469455	1689	439	13122	23440000	23808000	85
20221002 041551	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	41	TRUE	807299	0.295755137179745	0.822772638658062	6641	942	11222	25800000	25800000	86
20221002 041613	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	56	TRUE	962041	0.295755137179745	0.822772638658062	6641	942	11222	25560000	25680000	87
20221002 041628	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	14	TRUE	705689	0.295755137179745	0.822772638658062	6641	942	11222	25240000	25533333.3333333	88
20221002 041647	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	29	TRUE	909463	0.295755137179745	0.822772638658062	6641	942	11222	25320000	25480000	89
20221002 041704	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	23	TRUE	637597	0.295755137179745	0.822772638658062	6641	942	11222	2.5e+07	25384000	90
20221002 041723	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	33	TRUE	807299	0.127119671164721	0.67413346644491	752	20	5361	23920000	23920000	91
20221002 041743	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	48	TRUE	962041	0.127119671164721	0.67413346644491	752	20	5361	23840000	23880000	92
20221002 041803	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	50	TRUE	705689	0.127119671164721	0.67413346644491	752	20	5361	24080000	23946666.6666667	93
20221002 041822	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	49	TRUE	909463	0.127119671164721	0.67413346644491	752	20	5361	23600000	23860000	94
20221002 041839	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	42	TRUE	637597	0.127119671164721	0.67413346644491	752	20	5361	23040000	23696000	95
20221002 042017	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	310	TRUE	807299	0.0641467188486131	0.43093021908775	6337	831	9987	26430000	26430000	96
20221002 042128	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	186	TRUE	962041	0.0641467188486131	0.43093021908775	6337	831	9987	26110000	26270000	97
20221002 042305	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	306	TRUE	705689	0.0641467188486131	0.43093021908775	6337	831	9987	26670000	26403333.3333333	98
20221002 042432	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	260	TRUE	909463	0.0641467188486131	0.43093021908775	6337	831	9987	26670000	26470000	99
20221002 042603	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	291	TRUE	637597	0.0641467188486131	0.43093021908775	6337	831	9987	26910000	26558000	100
20221002 043150	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	680	TRUE	807299	0.00520628419663428	0.200179817575823	2483	345	9054	26460000	26460000	101
