Feature	Gain	Cover	Frequency
cextraccion_autoservicio	0.00164744936878147	0.0010638759053638	0.00294880268442727
n_mcaja_ahorro_adicional_rnk	0.00163391006819728	0.00142890964282932	0.00477909400579592
n_Visa_mconsumosdolares_rnk	0.00158696835790733	0.000482361826048746	0.0036605826427373
n_n_Total_Egresos_rnk	0.00153193357075903	0.00223235335996365	0.00315216838680157
Master_fultimo_cierre	0.0014983720633423	0.0000863010470047168	0.00310132696120799
n_n_minversion_rnk	0.00149578036706516	0.0237914024042252	0.00645686105038385
ctarjeta_debito	0.00144213084955696	0.00145080295541335	0.00406731404748589
ctarjeta_master	0.00140939595054406	0.000802826390606334	0.00142355991662006
n_matm_other_rnk	0.00138573507047432	0.000373417962962505	0.00310132696120799
catm_trx_other	0.00138371657844114	0.000489897415321117	0.00335553408917586
cmobile_app_trx	0.00136249206940746	0.0151891615101302	0.00503330113376379
n_mtarjeta_visa_descuentos_rnk	0.0013271336628256	0.000386321739609694	0.0028979612588337
n_Visa_msaldodolares_rnk	0.00131432371070969	0.00250173753385454	0.00396563119629874
n_Visa_mconsumototal_rnk	0.00130007693426204	0.00169994753084995	0.00188113274696223
n_Master_mpagominimo_rnk	0.00119046012863794	0.000323624795737391	0.00218618130052367
n_mttarjeta_master_debitos_automaticos_rnk	0.00118182820395785	0.000484673421003934	0.00228786415171081
n_Master_mlimitecompra_rnk	0.00117895357243882	0.000480359645363063	0.00381310691951802
n_Master_msaldototal_rnk	0.0011505610417306	0.000959634838771839	0.00310132696120799
cseguro_auto	0.00113941184644216	0.000409497769602258	0.00294880268442727
cpagodeservicios	0.00113051292717346	0.000319841229985527	0.00122019421424577
n_master_status_bin	0.00112363239737579	0.00206810094519781	0.00116935278865219
n_mv_fultimo_cierre_rnk	0.00109455077705335	0.000121086120147802	0.0019319741725558
n_mcajeros_propios_descuentos_rnk	0.00107913442442949	0.000255346378925855	0.00213533987493009
n_mv_mconsumototal_rnk	0.00106742713559184	0.000750976970298925	0.00249122985408511
Master_cadelantosefectivo	0.00105411167629501	0.00180879977126415	0.00162692561899436
n_mv_mpagado_rnk	0.00101043896709105	0.0000899193915447096	0.00122019421424577
n_Master_mconsumospesos_rnk	0.00100265396114476	0.000666927437808716	0.00208449844933652
ccajeros_propios_descuentos	0.0009948584605566	0.000185345155477802	0.00213533987493009
ccajas_depositos	0.000983480343938336	0.00215384624812623	0.00284711983324012
catm_trx	0.000980211159678645	0.00789432958367598	0.00340637551476943
n_Visa_mpagosdolares_rnk	0.000963751797470507	0.00017222659125518	0.00167776704458793
n_ctrx_quarter_normalizado	0.000963622319022286	0.000709814358377588	0.00294880268442727
n_mv_msaldodolares_rnk	0.000909555889093083	0.000439147467078164	0.00249122985408511
Visa_fultimo_cierre	0.000908411148469803	0.000388298386108088	0.00218618130052367
n_minversion2_rnk	0.000859844519437898	0.0116554718130675	0.00345721694036301
n_Master_msaldopesos_rnk	0.000836295064988698	0.00100791097486977	0.00183029132136865
ctarjeta_master_debitos_automaticos	0.000821845087599102	0.0000159723851549534	0.000965987086277899
tcuentas	0.000758685611748023	0.00583118677684534	0.00254207127967868
n_Master_mpagado_rnk	0.000752483965307757	0.00118184234862926	0.00152524276780721
n_mplazo_fijo_pesos_rnk	0.000720883992743851	0.002561446977814	0.00203365702374295
n_Visa_mpagado_rnk	0.000710159564394893	0.00867022641875823	0.00305048553561442
n_mv_mconsumosdolares_rnk	0.000698342778558958	0.000701155264864488	0.00132187706543291
n_Master_mconsumototal_rnk	0.000691072039583728	0.000305193618547582	0.0019319741725558
n_mforex_buy_rnk	0.000672833390512967	0.00139106046721152	0.00177944989577508
ccheques_depositados	0.000669864794292679	0.00409693631838877	0.00208449844933652
Visa_Finiciomora	0.000654258292231346	0.000302405886099999	0.000813462809497178
ctarjeta_visa	0.000651981026096968	0.00223290760202893	0.00152524276780721
n_mv_madelantopesos_rnk	0.000630891383618833	0.00150974937777617	0.00142355991662006
n_mcheques_emitidos_rechazados_rnk	0.000630122619501046	0.000502527825963209	0.00127103563983934
n_Master_msaldodolares_rnk	0.000616694125758475	0.000198624434879244	0.00147440134221364
n_mcheques_depositados_rnk	0.000611169700866289	0.0033338531392927	0.0017286084701815
cseguro_accidentes_personales	0.000580099244862314	0.0000684526500895098	0.00157608419340078
n_n_munitario_master_consumos_rnk	0.000568820636598899	0.000199588725952169	0.00147440134221364
ctarjeta_visa_descuentos	0.00055788457980402	0.00014429068834969	0.00147440134221364
n_mv_mpagosdolares_rnk	0.000508458540651753	0.000173046689270471	0.00106766993746505
ccajas_otras	0.000480023006890124	0.000357726453867734	0.00137271849102649
Master_Finiciomora	0.000473677502866298	0.00136402426890522	0.0017286084701815
n_n_monedas_saldo_rnk	0.000472595788755201	0.000397107680722889	0.00142355991662006
ccheques_emitidos_rechazados	0.000449993664395568	0.00467682071575037	0.0019319741725558
cplazo_fijo	0.000426380585092001	0.00267654157601492	0.00111851136305862
cforex_buy	0.000400955275287499	0.00108075850919507	0.00101682851187147
cforex_sell	0.00039065112915007	0.0000201690039364975	0.000406731404748589
n_tarjetas_minimos_pagado	0.000389342961634123	0.00000152904721532279	0.000610097107122884
cseguro_vida	0.00038860338117387	0.00768382724567417	0.00213533987493009
n_n_Total_Pagos_rnk	0.000382445135546432	0.000352413840900546	0.000915145660684326
n_n_munitario_prestamos_prendarios_nonull_rnk	0.000364636155203878	0.0000308347841683317	0.000660938532716457
n_minversion1_pesos_rnk	0.000329668080419998	0.0000712779328125178	0.000660938532716457
n_Master_madelantopesos_rnk	0.000328558549263403	0.00279228654498621	0.00111851136305862
n_n_munitario_prestamos_hipotecarios_rnk	0.000304519190701968	0.000183798084130275	0.000915145660684326
n_n_munitario_prestamos_prendarios_rnk	0.000284041159905046	0.000049437190614081	0.000711779958310031
n_Master_mconsumosdolares_rnk	0.000282115534287853	0.0000113041349140661	0.000305048553561442
n_mprestamos_prendarios_rnk	0.000269882980488069	0.0000391424071034499	0.000610097107122884
n_mtarjeta_master_descuentos_rnk	0.000264518362158795	0.00831574581069827	0.00183029132136865
n_mprestamos_hipotecarios_rnk	0.000260782096699874	0.0000881980869192086	0.000711779958310031
n_mforex_sell_rnk	0.00025949258451683	0.00541376139309527	0.00157608419340078
cinversion2	0.000255790766310071	0.000331695100931821	0.000915145660684326
n_n_munitario_master_consumos_nonull_rnk	0.000251806935163704	0.000130859705835528	0.000610097107122884
cseguro_vivienda	0.000251302822222253	0.0000370726359220012	0.000660938532716457
ccajas_extracciones	0.000250334220897706	0.00317034722400231	0.00137271849102649
n_visa_minimo_pagado	0.000231195903609444	0.00054456460829645	0.000610097107122884
n_Master_mpagosdolares_rnk	0.000204457225518404	0.00352945853202774	0.000864304235090752
ctarjeta_master_descuentos	0.000200746014739637	0.0000284480886622924	0.000305048553561442
ccheques_emitidos	0.000199642752362265	0.00309135796662843	0.000762621383903605
n_mv_Finiciomora_rnk	0.000196537823818381	0.000322196383260209	0.000864304235090752
n_n_munitario_prestamos_hipotecarios_nonull_rnk	0.000179751991202919	0.0000683910676378121	0.000406731404748589
n_mcheques_emitidos_rnk	0.000179296630471192	0.00333438184717069	0.000915145660684326
n_master_minimo_pagado	0.000171783273769128	0.00014982860296943	0.00055925568152931
cforex	0.000156107352660606	0.000320264797092325	0.000457572830342163
Visa_cadelantosefectivo	0.000151793180616388	0.000672306139260652	0.000457572830342163
cprestamos_prendarios	0.0001515511218721	0.0000525598715184583	0.000508414255935737
cinversion1	0.000145122730992741	0.0000234328738764744	0.000406731404748589
n_mpagodeservicios_rnk	0.000135247493261288	0.0000886531962573647	0.00055925568152931
n_mv_cadelantosefectivo_rnk	0.000103335659149437	0.000301596302161827	0.000355889979155016
Visa_delinquency	0.000100323206074366	0.000331870836220812	0.000254207127967868
cprestamos_hipotecarios	0.0000876421658549656	0.00000762270591135872	0.000101682851187147
n_Visa_madelantopesos_rnk	0.0000696106203856191	0.0000221681806001465	0.000203365702374295
n_mcheques_depositados_rechazados_rnk	0.0000439382232646538	0.00000665390880538308	0.0000508414255935737
Master_delinquency	0.0000375000257801748	0.00000272464798486792	0.000152524276780721
n_Master_madelantodolares_rnk	0.0000124030506673755	0.000000901206610209898	0.0000508414255935737
n_Visa_madelantodolares_rnk	0.00000699818370241547	0.000000139687024582534	0.0000508414255935737
